Title,URL,IMDB_Rating,Number_of_votes,Runtime,Genre,MPAA/TV_Rating,Metascore (*),Source
Countdown,https://www.imdb.com/title/tt0062827/,5.9,1906,101.0,"['Sci-Fi', 'Thriller']",Not Rated,,IMDB
"Yongary, Monster from the Deep",https://www.imdb.com/title/tt0061549/,3.9,1352,80.0,"['Action', 'Adventure', 'Comedy']",PG,,IMDB
Zatoichi the Outlaw,https://www.imdb.com/title/tt0062518/,7.1,1004,96.0,"['Action', 'Adventure', 'Drama']",Not Rated,,IMDB
Fathom,https://www.imdb.com/title/tt0061653/,5.8,1367,99.0,"['Adventure', 'Comedy']",Approved,,IMDB
Bonnie and Clyde,https://www.imdb.com/title/tt0061418/,7.8,99889,111.0,"['Action', 'Biography', 'Crime']",R,86.0,IMDB
Beach Red,https://www.imdb.com/title/tt0061389/,6.3,1236,105.0,"['Drama', 'War']",Approved,,IMDB
In the Heat of the Night,https://www.imdb.com/title/tt0061811/,7.9,65546,110.0,"['Crime', 'Drama', 'Mystery']",Not Rated,75.0,IMDB
Rough Night in Jericho,https://www.imdb.com/title/tt0062218/,6.4,1076,104.0,"['Romance', 'Western']",Approved,,IMDB
La Chinoise,https://www.imdb.com/title/tt0061473/,7.1,5938,95.0,"['Comedy', 'Drama']",Not Rated,,IMDB
Du bei dao,https://www.imdb.com/title/tt0061597/,7.3,2738,115.0,"['Action', 'Drama']",R,,IMDB
King Kong Escapes,https://www.imdb.com/title/tt0061868/,5.6,2184,96.0,"['Adventure', 'Sci-Fi']",G,,IMDB
Oscar,https://www.imdb.com/title/tt0062083/,7.5,5770,85.0,['Comedy'],G,,IMDB
The Gnome-Mobile,https://www.imdb.com/title/tt0061715/,6.6,1924,84.0,"['Adventure', 'Family', 'Fantasy']",Approved,,IMDB
The Born Losers,https://www.imdb.com/title/tt0061420/,6.0,2118,113.0,"['Action', 'Drama', 'Thriller']",PG,,IMDB
The St. Valentine's Day Massacre,https://www.imdb.com/title/tt0062301/,6.7,3564,100.0,"['Crime', 'Drama', 'History']",Not Rated,,IMDB
The Whisperers,https://www.imdb.com/title/tt0061180/,7.1,1045,106.0,['Drama'],Not Rated,,IMDB
Up the Down Staircase,https://www.imdb.com/title/tt0062425/,7.4,1831,124.0,['Drama'],Approved,,IMDB
Woman Times Seven,https://www.imdb.com/title/tt0062502/,6.0,1345,99.0,"['Comedy', 'Drama']",Not Rated,,IMDB
Divorce American Style,https://www.imdb.com/title/tt0061581/,6.3,1415,109.0,['Comedy'],Approved,,IMDB
Branded to Kill,https://www.imdb.com/title/tt0061882/,7.4,7696,91.0,"['Action', 'Crime', 'Drama']",Not Rated,,IMDB
The Dirty Dozen,https://www.imdb.com/title/tt0061578/,7.7,65524,150.0,"['Action', 'Adventure', 'War']",Not Rated,73.0,IMDB
"To Sir, with Love",https://www.imdb.com/title/tt0062376/,7.7,15253,105.0,['Drama'],Not Rated,55.0,IMDB
The Reluctant Astronaut,https://www.imdb.com/title/tt0062190/,6.4,2055,101.0,"['Comedy', 'Family', 'Sci-Fi']",Approved,,IMDB
You Only Live Twice,https://www.imdb.com/title/tt0062512/,6.9,95092,117.0,"['Action', 'Adventure', 'Thriller']",PG,61.0,IMDB
Don't Make Waves,https://www.imdb.com/title/tt0061590/,6.0,1361,97.0,['Comedy'],Approved,,IMDB
El Dorado,https://www.imdb.com/title/tt0061619/,7.6,23562,126.0,"['Drama', 'Romance', 'Western']",Passed,85.0,IMDB
They Came from Beyond Space,https://www.imdb.com/title/tt0062360/,4.6,1356,85.0,"['Adventure', 'Sci-Fi']",Not Rated,,IMDB
The Sorcerers,https://www.imdb.com/title/tt0062292/,6.3,1691,86.0,"['Horror', 'Sci-Fi']",Not Rated,,IMDB
Ljubavni slucaj ili tragedija sluzbenice P.T.T.,https://www.imdb.com/title/tt0061912/,7.4,1485,70.0,"['Comedy', 'Drama', 'Romance']",,,IMDB
Hillbillys in a Haunted House,https://www.imdb.com/title/tt0061765/,2.6,1007,86.0,"['Comedy', 'Family', 'Horror']",TV-G,,IMDB
Samurai Rebellion,https://www.imdb.com/title/tt0061847/,8.4,10253,128.0,['Drama'],Not Rated,90.0,IMDB
Island of the Burning Damned,https://www.imdb.com/title/tt0062037/,5.7,1571,94.0,"['Horror', 'Mystery', 'Sci-Fi']",GP,,IMDB
A Guide for the Married Man,https://www.imdb.com/title/tt0061736/,6.7,2373,89.0,"['Comedy', 'Romance']",PG,,IMDB
The Way West,https://www.imdb.com/title/tt0062479/,6.2,2396,122.0,"['Adventure', 'Drama', 'Western']",Approved,42.0,IMDB
The War Wagon,https://www.imdb.com/title/tt0062472/,6.9,8548,101.0,['Western'],Not Rated,,IMDB
Belle de Jour,https://www.imdb.com/title/tt0061395/,7.7,38954,100.0,['Drama'],R,,IMDB
Barefoot in the Park,https://www.imdb.com/title/tt0061385/,7.0,16288,106.0,"['Comedy', 'Romance']",G,55.0,IMDB
The Shuttered Room,https://www.imdb.com/title/tt0062266/,5.9,1571,99.0,['Horror'],Not Rated,,IMDB
"War and Peace, Part III: The Year 1812",https://www.imdb.com/title/tt0062455/,8.3,1034,81.0,"['Drama', 'History', 'War']",Not Rated,,IMDB
Caprice,https://www.imdb.com/title/tt0061447/,5.6,1192,98.0,"['Comedy', 'Crime', 'Thriller']",Approved,,IMDB
Entranced Earth,https://www.imdb.com/title/tt0062352/,7.5,2527,111.0,['Drama'],,,IMDB
Welcome to Hard Times,https://www.imdb.com/title/tt0062482/,5.9,1328,103.0,"['Drama', 'Western']",Approved,,IMDB
Gappa the Triphibian Monsters,https://www.imdb.com/title/tt0061550/,4.2,1288,90.0,"['Action', 'Adventure', 'Comedy']",PG,,IMDB
Neulovimye mstiteli,https://www.imdb.com/title/tt0060747/,7.4,1583,78.0,"['Action', 'Adventure', 'Western']",,,IMDB
Two for the Road,https://www.imdb.com/title/tt0062407/,7.5,11871,111.0,"['Comedy', 'Drama', 'Romance']",Not Rated,78.0,IMDB
Catalina Caper,https://www.imdb.com/title/tt0061456/,2.1,1785,84.0,"['Comedy', 'Musical', 'Mystery']",,,IMDB
Elvira Madigan,https://www.imdb.com/title/tt0061620/,7.3,2546,91.0,"['Biography', 'Drama', 'Romance']",PG,,IMDB
Operation Kid Brother,https://www.imdb.com/title/tt0062078/,3.5,1160,104.0,"['Action', 'Comedy', 'Thriller']",Not Rated,,IMDB
Casino Royale,https://www.imdb.com/title/tt0061452/,5.2,26488,131.0,['Comedy'],Not Rated,48.0,IMDB
The Last Adventure,https://www.imdb.com/title/tt0061376/,7.2,2817,112.0,"['Adventure', 'Drama']",M,,IMDB
Double Trouble,https://www.imdb.com/title/tt0061595/,5.3,1252,91.0,"['Comedy', 'Crime', 'Drama']",Not Rated,,IMDB
"Kavkazskaya plennitsa, ili Novye priklyucheniya Shurika",https://www.imdb.com/title/tt0060584/,8.4,10475,82.0,"['Adventure', 'Comedy', 'Romance']",,,IMDB
Violated Angels,https://www.imdb.com/title/tt0062069/,7.3,1396,56.0,"['Drama', 'Thriller']",,,IMDB
Skupljaci perja,https://www.imdb.com/title/tt0062277/,7.9,1964,94.0,['Drama'],,,IMDB
UchÃ» daikaijÃ» Girara,https://www.imdb.com/title/tt0062411/,5.0,1083,89.0,"['Horror', 'Sci-Fi']",PG,,IMDB
"Easy Come, Easy Go",https://www.imdb.com/title/tt0061610/,5.3,1315,95.0,"['Adventure', 'Comedy', 'Music']",PG,,IMDB
Thoroughly Modern Millie,https://www.imdb.com/title/tt0062362/,6.9,5815,138.0,"['Comedy', 'Musical', 'Romance']",G,,IMDB
The Honey Pot,https://www.imdb.com/title/tt0061780/,6.9,2062,125.0,"['Comedy', 'Crime']",Not Rated,,IMDB
Hombre,https://www.imdb.com/title/tt0061770/,7.4,10895,111.0,['Western'],Approved,80.0,IMDB
Wavelength,https://www.imdb.com/title/tt0127354/,5.6,2280,45.0,['Drama'],,,IMDB
