Title_(RT),RT_critic,RT_critic_votes,RT_audience,RT_audience_votes
Dark Encounter (Transience),67%,6,N/A,N/A
Burn!,86%,14,81%,"1,590"
Mary,4%,27,15%,46
To Your Last Death,70%,10,93%,15
Jacob's Ladder,72%,65,84%,"53,038"
Overcomer,50%,16,98%,"7,217"
Abigail,N/A,N/A,47%,19
"Someone, Somewhere (Deux moi)",100%,8,74%,23
Angel Has Fallen,39%,182,93%,"14,667"
VariaÃÂÃÂ§ÃÂÃÂµes: Guardian Angel (no page found),N/A,N/A,N/A,N/A
Sextuplets,14%,14,38%,45
Can You Keep a Secret?,29%,17,39%,173
Journey to China: The Mystery of Iron Mask,20%,20,N/A,N/A
"Where'd You Go, Bernadette",50%,183,74%,"1,530"
Mission Mangal,60%,15,95%,441
Batla House,42%,12,88%,72
47 Meters Down: Uncaged,44%,88,68%,"2,475"
Evaru,N/A,N/A,N/A,N/A
Heroic Losers (La odisea de los giles),100%,17,88%,69
L'Empreinte de l'ange (Mark of an Angel),86%,22,53%,"1,297"
Comali (no page found),N/A,N/A,N/A,N/A
Instinct,27%,66,67%,"31,122"
Annabellum: The Curse of Salem,N/A,N/A,54%,231
Exit 0,N/A,N/A,N/A,N/A
Itsy Bitsy,56%,9,28%,53
Jabariya Jodi,0%,12,N/A,N/A
Ambili,N/A,N/A,N/A,N/A
7500,70%,143,55%,288
The Kitchen,23%,223,69%,"2,978"
Welad Rizk 2 (no page found),N/A,N/A,N/A,N/A
Nerkonda Paarvai,N/A,N/A,88%,86
The Haunt,N/A,N/A,N/A,N/A
Scary Stories to Tell in the Dark,78%,226,72%,"8,242"
The Art of Racing in the Rain,43%,117,96%,"6,272"
Shanghai Fortress,N/A,N/A,30%,10
The Reliant,N/A,N/A,26%,73
Dora and the Lost City of Gold,85%,149,88%,"6,716"
The Angry Birds Movie 2,73%,109,84%,"4,023"
Madness in the Method,33%,9,60%,47
Airplane Mode,N/A,N/A,N/A,N/A
A Score to Settle,15%,20,21%,75
Khandaani Shafakhana,9%,11,62%,8
Violet Evergarden: Eternity and the Auto Memories Doll (no page found),N/A,N/A,N/A,N/A
Dragon Quest: Your Story,N/A,N/A,78%,83
One Piece: Stampede,93%,14,99%,776
Padre no hay mÃÂÃÂ¡s que uno (no page found),N/A,N/A,N/A,N/A
Awake,24%,62,54%,"237,784"
Killerman,26%,19,63%,68
Exit (Hui guang zoumingqu),100%,7,N/A,N/A
The Divine Fury,44%,18,90%,20
Ghost,N/A,N/A,53%,59
Operation Brothers (no page found),N/A,N/A,N/A,N/A
Dear Comrade,N/A,N/A,N/A,N/A
Horrible Histories: The Movie - Rotten Romans (no page found),N/A,N/A,N/A,N/A
A Rainy Day in New York,46%,56,60%,266
Thanneermathan Dinangal (no page found),N/A,N/A,N/A,N/A
Judgementall Hai Kya,67%,15,61%,18
Red Shoes and the Seven Dwarfs,N/A,N/A,81%,21
The Blue Elephant 2 (no page found),N/A,N/A,N/A,N/A
