Title,URL,IMDB_Rating,Number_of_votes,Runtime,Genre,MPAA/TV_Rating,Metascore (*),Source
"My People, My Country",https://www.imdb.com/title/tt10147382/,6.4,1111,154.0,"['Drama', 'History']",, ~data not found~ ,IMDB
The Endless Trench,https://www.imdb.com/title/tt7937168/,7.3,3553,147.0,['Drama'],, ~data not found~ ,IMDB
Fractured,https://www.imdb.com/title/tt4332232/,6.4,47629,99.0,"['Mystery', 'Thriller']",,36,IMDB
VFW,https://www.imdb.com/title/tt9894470/,6.1,3708,92.0,"['Action', 'Horror']",Not Rated,72,IMDB
In the Shadow of the Moon,https://www.imdb.com/title/tt8110640/,6.2,35715,115.0,"['Crime', 'Mystery', 'Sci-Fi']",,48,IMDB
Black and Blue,https://www.imdb.com/title/tt7390646/,6.3,12532,108.0,"['Action', 'Crime', 'Drama']",R,54,IMDB
The Captain,https://www.imdb.com/title/tt10218664/,6.1,1001,111.0,"['Action', 'Adventure', 'Drama']",, ~data not found~ ,IMDB
Between Two Ferns: The Movie,https://www.imdb.com/title/tt9398640/,6.1,24351,82.0,['Comedy'],,59,IMDB
Quick,https://www.imdb.com/title/tt9211804/,6.8,1491,132.0,"['Crime', 'Drama', 'Thriller']",, ~data not found~ ,IMDB
Prassthanam,https://www.imdb.com/title/tt8706884/,5.9,1007,141.0,"['Action', 'Drama']",Not Rated, ~data not found~ ,IMDB
Kaappaan,https://www.imdb.com/title/tt8411144/,6.4,3420,166.0,"['Action', 'Thriller']",Not Rated, ~data not found~ ,IMDB
The Zoya Factor,https://www.imdb.com/title/tt8304386/,4.3,1692,134.0,"['Comedy', 'Drama', 'Romance']",, ~data not found~ ,IMDB
In the Tall Grass,https://www.imdb.com/title/tt4687108/,5.4,41684,101.0,"['Drama', 'Horror', 'Mystery']",,46,IMDB
Fanxiao,https://www.imdb.com/title/tt10805432/,7.0,1798,102.0,"['Horror', 'Mystery', 'Thriller']",, ~data not found~ ,IMDB
Single Slipper Size - 7,https://www.imdb.com/title/tt10370116/,8.6,1840,120.0,['Drama'],, ~data not found~ ,IMDB
Annem,https://www.imdb.com/title/tt10332672/,5.9,1032,110.0,['Drama'],, ~data not found~ ,IMDB
The Wedding Year,https://www.imdb.com/title/tt8367184/,5.5,1323,90.0,['Comedy'],R, ~data not found~ ,IMDB
Hell House LLC III: Lake of Fire,https://www.imdb.com/title/tt10675136/,5.7,2699,85.0,['Horror'],Not Rated, ~data not found~ ,IMDB
The Cleansing Hour,https://www.imdb.com/title/tt8009906/,5.7,1095,94.0,['Horror'],, ~data not found~ ,IMDB
Lucky Day,https://www.imdb.com/title/tt7248248/,4.9,1387,99.0,"['Action', 'Comedy', 'Crime']",R,18,IMDB
The Coldest Game,https://www.imdb.com/title/tt6445414/,6.1,6822,102.0,['Thriller'],, ~data not found~ ,IMDB
Rambo: Last Blood,https://www.imdb.com/title/tt1206885/,6.2,72882,89.0,"['Action', 'Thriller']",R,26,IMDB
Tekst,https://www.imdb.com/title/tt10767426/,6.7,1931,132.0,"['Drama', 'Thriller']",, ~data not found~ ,IMDB
3 from Hell,https://www.imdb.com/title/tt8134742/,5.5,10065,115.0,['Horror'],R,50,IMDB
