Title,URL,IMDB_Rating,Number_of_votes,Runtime,Genre,MPAA/TV_Rating,Metascore (*),Source,Title (w/ year),Country,Language,Release_Date
Doa al karawan,https://www.imdb.com/title/tt0231477/,8.1,1489,109.0,"['Drama', 'Romance']",,,IMDB,Doa al karawan (1959) ,"
Country:
Egypt
","
Language:
Arabic
","
Release Date: 8 October 1959 (Egypt)
    
See more »
    
"
4D Man,https://www.imdb.com/title/tt0052530/,5.9,1621,85.0,"['Action', 'Horror', 'Romance']",TV-PG,,IMDB,4D Man (1959) ,"
Country:
USA
","
Language:
English
","
Release Date: 7 October 1959 (USA)
    
See more »
    
"
Pillow Talk,https://www.imdb.com/title/tt0053172/,7.4,15112,102.0,"['Comedy', 'Romance']",Passed,,IMDB,Pillow Talk (1959) ,"
Country:
USA
","
Language:
English
|
French
","
Release Date: 7 October 1959 (USA)
    
See more »
    
"
North West Frontier,https://www.imdb.com/title/tt0053126/,7.1,2188,129.0,"['Adventure', 'Drama']",Not Rated,,IMDB,North West Frontier (1959) ,"
Country:
UK
","
Language:
English
|
Hindi
","
Release Date: 25 October 1959 (UK)
    
See more »
    
"
The FBI Story,https://www.imdb.com/title/tt0052792/,6.6,2855,149.0,"['Crime', 'Drama', 'History']",Approved,,IMDB,The FBI Story (1959) ,"
Country:
USA
","
Language:
English
","
Release Date: October 1959 (USA)
    
See more »
    
"
The Wonderful Country,https://www.imdb.com/title/tt0053453/,6.2,1430,98.0,"['Romance', 'Western']",Approved,,IMDB,The Wonderful Country (1959) ,"
Country:
USA
","
Language:
English
","
Release Date: 1 October 1959 (USA)
    
See more »
    
"
The St. Louis Bank Robbery,https://www.imdb.com/title/tt0052862/,5.9,1228,89.0,"['Crime', 'Drama', 'Thriller']",Not Rated,,IMDB,The St. Louis Bank Robbery (1959) ,"
Country:
USA
","
Language:
English
","
Release Date: 10 September 1959 (USA)
    
See more »
    
"
Les liaisons dangereuses,https://www.imdb.com/title/tt0053002/,6.9,1203,106.0,"['Drama', 'Romance']",,,IMDB,Les liaisons dangereuses (1959) ,"
Country:
France
|
Italy
","
Language:
French
","
Release Date: 18 December 1961 (USA)
    
See more »
    
"
La grande guerra,https://www.imdb.com/title/tt0052861/,8.2,3645,137.0,"['Comedy', 'Drama', 'War']",Not Rated,,IMDB,La grande guerra (1959) ,"
Country:
Italy
|
France
","
Language:
Italian
|
German
","
Release Date: 28 October 1959 (Italy)
    
See more »
    
"
Maigret et l'affaire Saint-Fiacre,https://www.imdb.com/title/tt0053033/,7.1,1078,101.0,"['Crime', 'Drama', 'Thriller']",,,IMDB,Maigret et l'affaire Saint-Fiacre (1959) ,"
Country:
France
|
Italy
","
Language:
French
","
Release Date: 2 September 1959 (France)
    
See more »
    
"
The Chaplin Revue,https://www.imdb.com/title/tt0050243/,7.7,1153,119.0,['Comedy'],G,,IMDB,The Chaplin Revue (1959) ,"
Country:
UK
","
Language:
English
","
Release Date: 1 September 1959 (UK)
    
See more »
    
"
Il Generale Della Rovere,https://www.imdb.com/title/tt0053856/,7.8,2739,129.0,"['Drama', 'War']",Not Rated,,IMDB,Il Generale Della Rovere (1959) ,"
Country:
Italy
|
France
","
Language:
Italian
|
German
|
French
|
Hebrew
|
English
","
Release Date: 11 November 1959 (France)
    
See more »
    
"
Carry on Teacher,https://www.imdb.com/title/tt0052676/,6.2,2001,86.0,['Comedy'],,,IMDB,Carry on Teacher (1959) ,"
Country:
UK
","
Language:
English
","
Release Date: October 1962 (USA)
    
See more »
    
"
Pociag,https://www.imdb.com/title/tt0053176/,7.8,2582,99.0,"['Drama', 'Mystery', 'Thriller']",,,IMDB,Pociag (1959) ,"
Country:
Poland
","
Language:
Polish
","
Release Date: 6 September 1959 (Poland)
    
See more »
    
"
The Day the Earth Froze,https://www.imdb.com/title/tt0053240/,3.8,1079,67.0,"['Adventure', 'Fantasy']",Not Rated,,IMDB,The Day the Earth Froze (1959) ,"
Country:
Finland
|
Soviet Union
","
Language:
Finnish
","
Release Date: April 1964 (USA)
    
See more »
    
"
The Crimson Kimono,https://www.imdb.com/title/tt0052713/,6.9,2324,82.0,"['Crime', 'Drama', 'Mystery']",Approved,,IMDB,The Crimson Kimono (1959) ,"
Country:
USA
","
Language:
English
|
Japanese
|
Italian
|
French
|
Latin
","
Release Date: 5 May 1960 (Mexico)
    
See more »
    
"
They Came to Cordura,https://www.imdb.com/title/tt0053351/,6.4,1842,123.0,"['Adventure', 'Drama', 'History']",Approved,,IMDB,They Came to Cordura (1959) ,"
Country:
USA
","
Language:
English
","
Release Date: 20 August 1959 (Japan)
    
See more »
    
"
The Devil's Disciple,https://www.imdb.com/title/tt0052735/,7.2,2044,83.0,"['Comedy', 'History', 'Romance']",Approved,,IMDB,The Devil's Disciple (1959) ,"
Country:
UK
|
USA
","
Language:
English
","
Release Date: 20 August 1959 (USA)
    
See more »
    
"
I'm All Right Jack,https://www.imdb.com/title/tt0052911/,7.2,3449,105.0,['Comedy'],Not Rated,,IMDB,I'm All Right Jack (1959) ,"
Country:
UK
","
Language:
English
","
Release Date: 7 March 1960 (Sweden)
    
See more »
    
"
The Bat,https://www.imdb.com/title/tt0052602/,6.1,4130,80.0,"['Horror', 'Mystery', 'Thriller']",Approved,,IMDB,The Bat (1959) ,"
Country:
USA
","
Language:
English
","
Release Date: 9 August 1959 (USA)
    
See more »
    
"
"Caltiki, the Immortal Monster",https://www.imdb.com/title/tt0052667/,6.0,1157,77.0,"['Adventure', 'Horror', 'Sci-Fi']",Approved,,IMDB,"Caltiki, the Immortal Monster (1959) ","
Country:
Italy
|
USA
","
Language:
Italian
","
Release Date: 20 September 1960 (USA)
    
See more »
    
"
The Scapegoat,https://www.imdb.com/title/tt0053247/,6.9,1680,91.0,"['Crime', 'Mystery', 'Thriller']",Not Rated,,IMDB,The Scapegoat (1959) ,"
Country:
UK
","
Language:
English
","
Release Date: 6 August 1959 (USA)
    
See more »
    
"
The Mummy,https://www.imdb.com/title/tt0053085/,6.8,7722,88.0,"['Adventure', 'Horror']",Not Rated,,IMDB,The Mummy (1959) ,"
Country:
UK
","
Language:
English
","
Release Date: 16 December 1959 (USA)
    
See more »
    
"
The Manster,https://www.imdb.com/title/tt0055139/,5.4,1213,73.0,"['Horror', 'Sci-Fi']",Not Rated,,IMDB,The Manster (1959) ,"
Country:
Japan
|
USA
","
Language:
English
","
Release Date: 28 March 1962 (USA)
    
See more »
    
"
Return of the Fly,https://www.imdb.com/title/tt0053219/,5.8,4122,80.0,"['Drama', 'Fantasy', 'Horror']",Not Rated,,IMDB,Return of the Fly (1959) ,"
Country:
USA
","
Language:
English
|
French
","
Release Date: July 1959 (USA)
    
See more »
    
"
The Tingler,https://www.imdb.com/title/tt0053363/,6.7,6887,82.0,['Horror'],Not Rated,,IMDB,The Tingler (1959) ,"
Country:
USA
","
Language:
English
|
American Sign Language
","
Release Date: 29 July 1959 (USA)
    
See more »
    
"
The Mouse That Roared,https://www.imdb.com/title/tt0053084/,7.0,7971,83.0,['Comedy'],Approved,,IMDB,The Mouse That Roared (1959) ,"
Country:
UK
","
Language:
English
|
French
","
Release Date: November 1959 (USA)
    
See more »
    
"
The Alligator People,https://www.imdb.com/title/tt0052549/,5.6,1682,74.0,"['Horror', 'Mystery', 'Sci-Fi']",Approved,,IMDB,The Alligator People (1959) ,"
Country:
USA
","
Language:
English
","
Release Date: 16 July 1959 (USA)
    
See more »
    
"
A Hole in the Head,https://www.imdb.com/title/tt0052896/,6.3,2249,120.0,"['Comedy', 'Drama']",Approved,,IMDB,A Hole in the Head (1959) ,"
Country:
USA
","
Language:
English
","
Release Date: 15 July 1959 (USA)
    
See more »
    
"
The Ghost of Yotsuya,https://www.imdb.com/title/tt0155278/,7.0,1184,76.0,['Horror'],,,IMDB,The Ghost of Yotsuya (1959) ,"
Country:
Japan
","
Language:
Japanese
","
Release Date: 11 July 1959 (Japan)
    
See more »
    
"
Last Train from Gun Hill,https://www.imdb.com/title/tt0052993/,7.4,6374,95.0,"['Romance', 'Western']",Passed,,IMDB,Last Train from Gun Hill (1959) ,"
Country:
USA
","
Language:
English
","
Release Date: 23 October 1959 (Ireland)
    
See more »
    
"
Tarzan's Greatest Adventure,https://www.imdb.com/title/tt0053334/,6.5,1114,88.0,"['Action', 'Adventure']",Approved,,IMDB,Tarzan's Greatest Adventure (1959) ,"
Country:
USA
","
Language:
English
","
Release Date: 21 September 1959 (Sweden)
    
See more »
    
"
The Wasp Woman,https://www.imdb.com/title/tt0054462/,4.7,3861,63.0,"['Horror', 'Sci-Fi']",Not Rated,,IMDB,The Wasp Woman (1959) ,"
Country:
USA
","
Language:
English
","
Release Date: 30 October 1959 (USA)
    
See more »
    
"
North by Northwest,https://www.imdb.com/title/tt0053125/,8.3,290394,136.0,"['Adventure', 'Mystery', 'Thriller']",Approved,98.0,IMDB,North by Northwest (1959) ,"
Country:
USA
","
Language:
English
|
French
","
Release Date: 26 September 1959 (Japan)
    
See more »
    
"
Anatomy of a Murder,https://www.imdb.com/title/tt0052561/,8.0,58173,161.0,"['Crime', 'Drama', 'Mystery']",Not Rated,95.0,IMDB,Anatomy of a Murder (1959) ,"
Country:
USA
","
Language:
English
","
Release Date: September 1959 (Austria)
    
See more »
    
"
The Man Who Could Cheat Death,https://www.imdb.com/title/tt0053041/,6.3,1600,83.0,"['Drama', 'Horror', 'Sci-Fi']",Approved,,IMDB,The Man Who Could Cheat Death (1959) ,"
Country:
UK
","
Language:
English
","
Release Date: June 1959 (USA)
    
See more »
    
"
The Killer Shrews,https://www.imdb.com/title/tt0052969/,4.1,4328,69.0,"['Horror', 'Sci-Fi']",Not Rated,,IMDB,The Killer Shrews (1959) ,"
Country:
USA
","
Language:
English
|
Spanish
","
Release Date: 1959 (UK)
    
See more »
    
"
The Giant Gila Monster,https://www.imdb.com/title/tt0052846/,3.6,3394,74.0,"['Horror', 'Sci-Fi', 'Thriller']",Not Rated,,IMDB,The Giant Gila Monster (1959) ,"
Country:
USA
","
Language:
English
","
Release Date: 1959 (UK)
    
See more »
    
"
Shake Hands with the Devil,https://www.imdb.com/title/tt0053272/,7.0,1109,111.0,"['Action', 'Drama', 'History']",Not Rated,,IMDB,Shake Hands with the Devil (1959) ,"
Country:
Ireland
|
USA
","
Language:
English
","
Release Date: 24 June 1959 (USA)
    
See more »
    
"
Porgy and Bess,https://www.imdb.com/title/tt0053182/,7.1,1483,138.0,"['Drama', 'Musical', 'Romance']",Not Rated,,IMDB,Porgy and Bess (1959) ,"
Country:
USA
","
Language:
English
","
Release Date: 14 October 1959 (France)
    
See more »
    
"
Darby O'Gill and the Little People,https://www.imdb.com/title/tt0052722/,7.2,6795,93.0,"['Adventure', 'Family', 'Fantasy']",G,,IMDB,Darby O'Gill and the Little People (1959) ,"
Country:
USA
","
Language:
English
|
Irish
","
Release Date: 22 June 1960 (USA)
    
See more »
    
"
The Nun's Story,https://www.imdb.com/title/tt0053131/,7.6,9107,149.0,['Drama'],Not Rated,78.0,IMDB,The Nun's Story (1959) ,"
Country:
USA
","
Language:
English
","
Release Date: 18 July 1959 (USA)
    
See more »
    
"
The Five Pennies,https://www.imdb.com/title/tt0052809/,7.2,1655,117.0,"['Biography', 'Drama', 'Music']",Approved,,IMDB,The Five Pennies (1959) ,"
Country:
USA
","
Language:
English
","
Release Date: August 1959 (USA)
    
See more »
    
"
The Horse Soldiers,https://www.imdb.com/title/tt0052902/,7.2,9200,120.0,"['Adventure', 'Romance', 'War']",Approved,,IMDB,The Horse Soldiers (1959) ,"
Country:
USA
","
Language:
English
","
Release Date: July 1959 (USA)
    
See more »
    
"
Teenagers from Outer Space,https://www.imdb.com/title/tt0053337/,3.8,3044,86.0,"['Horror', 'Sci-Fi', 'Thriller']",Not Rated,,IMDB,Teenagers from Outer Space (1959) ,"
Country:
USA
","
Language:
English
","
Release Date: 3 June 1959 (USA)
    
See more »
    
"
Pork Chop Hill,https://www.imdb.com/title/tt0053183/,7.1,4117,97.0,"['Action', 'Drama', 'War']",Approved,,IMDB,Pork Chop Hill (1959) ,"
Country:
USA
","
Language:
English
","
Release Date: 14 June 1959 (UK)
    
See more »
    
"
Look Back in Anger,https://www.imdb.com/title/tt0051879/,7.0,3318,98.0,['Drama'],Approved,69.0,IMDB,Look Back in Anger (1959) ,"
Country:
UK
","
Language:
English
","
Release Date: 15 September 1959 (USA)
    
See more »
    
"
It Happened to Jane,https://www.imdb.com/title/tt0052933/,6.6,2309,97.0,['Comedy'],Not Rated,,IMDB,It Happened to Jane (1959) ,"
Country:
USA
","
Language:
English
","
Release Date: 24 May 1959 (UK)
    
See more »
    
"
The Young Philadelphians,https://www.imdb.com/title/tt0053462/,7.4,3219,136.0,['Drama'],Approved,,IMDB,The Young Philadelphians (1959) ,"
Country:
USA
","
Language:
English
","
Release Date: 30 May 1959 (USA)
    
See more »
    
"
Middle of the Night,https://www.imdb.com/title/tt0053065/,7.2,1070,118.0,['Drama'],Approved,,IMDB,Middle of the Night (1959) ,"
Country:
USA
","
Language:
English
","
Release Date: 20 May 1959 (France)
    
See more »
    
"
Invisible Invaders,https://www.imdb.com/title/tt0052929/,5.1,1440,67.0,"['Sci-Fi', 'Horror']",Approved,,IMDB,Invisible Invaders (1959) ,"
Country:
USA
","
Language:
English
","
Release Date: 15 May 1959 (USA)
    
See more »
    
"
Day of the Outlaw,https://www.imdb.com/title/tt0052724/,7.3,2939,92.0,['Western'],Not Rated,,IMDB,Day of the Outlaw (1959) ,"
Country:
USA
","
Language:
English
","
Release Date: 22 July 1959 (USA)
    
See more »
    
"
Black Orpheus,https://www.imdb.com/title/tt0053146/,7.5,9562,100.0,"['Drama', 'Fantasy', 'Music']",PG,81.0,IMDB,Black Orpheus (1959) ,"
Country:
Brazil
|
France
|
Italy
","
Language:
Portuguese
","
Release Date: 21 December 1959 (USA)
    
See more »
    
"
Good Morning,https://www.imdb.com/title/tt0053134/,7.9,7621,94.0,"['Comedy', 'Drama', 'Family']",Not Rated,,IMDB,Good Morning (1959) ,"
Country:
Japan
","
Language:
Japanese
|
English
","
Release Date: February 1962 (USA)
    
See more »
    
"
Nazarin,https://www.imdb.com/title/tt0051983/,7.9,5091,94.0,['Drama'],Not Rated,,IMDB,Nazarin (1959) ,"
Country:
Mexico
","
Language:
Spanish
","
Release Date: 20 June 1968 (USA)
    
See more »
    
"
Segodnya uvolneniya ne budet,https://www.imdb.com/title/tt0053258/,6.5,1343,45.0,"['Drama', 'Thriller']",,,IMDB,Segodnya uvolneniya ne budet (1959) ,"
Country:
Soviet Union
","
Language:
Russian
","
Release Date: 9 May 1959 (Soviet Union)
    
See more »
    
"
Hiroshima Mon Amour,https://www.imdb.com/title/tt0052893/,7.9,27272,90.0,"['Drama', 'Romance']",Not Rated,,IMDB,Hiroshima Mon Amour (1959) ,"
Country:
France
|
Japan
","
Language:
French
|
Japanese
|
English
","
Release Date: 16 May 1960 (USA)
    
See more »
    
"
The 400 Blows,https://www.imdb.com/title/tt0053198/,8.1,101304,99.0,"['Crime', 'Drama']",Not Rated,,IMDB,The 400 Blows (1959) ,"
Country:
France
","
Language:
French
|
English
","
Release Date: 16 November 1959 (USA)
    
See more »
    
"
The Hound of the Baskervilles,https://www.imdb.com/title/tt0052905/,7.0,8892,87.0,"['Horror', 'Mystery']",Not Rated,,IMDB,The Hound of the Baskervilles (1959) ,"
Country:
UK
","
Language:
English
|
Spanish
","
Release Date: 3 July 1959 (USA)
    
See more »
    
"
The World of Apu,https://www.imdb.com/title/tt0052572/,8.5,11216,105.0,['Drama'],Not Rated,,IMDB,The World of Apu (1959) ,"
Country:
India
","
Language:
Bengali
","
Release Date: 4 October 1960 (USA)
    
See more »
    
"
The Mating Game,https://www.imdb.com/title/tt0053054/,7.0,1354,96.0,"['Comedy', 'Romance']",Passed,,IMDB,The Mating Game (1959) ,"
Country:
USA
","
Language:
English
","
Release Date: October 1959 (Austria)
    
See more »
    
"
Horrors of the Black Museum,https://www.imdb.com/title/tt0052901/,6.0,1143,93.0,['Horror'],Not Rated,,IMDB,Horrors of the Black Museum (1959) ,"
Country:
UK
","
Language:
English
","
Release Date: 31 May 1959 (UK)
    
See more »
    
"
Westbound,https://www.imdb.com/title/tt0053441/,6.6,1065,72.0,"['Action', 'Romance', 'War']",Passed,,IMDB,Westbound (1959) ,"
Country:
USA
","
Language:
English
","
Release Date: May 1959 (UK)
    
See more »
    
"
"The World, The Flesh and The Devil",https://www.imdb.com/title/tt0053454/,6.9,2552,95.0,"['Drama', 'Romance', 'Sci-Fi']",Not Rated,,IMDB,"The World, The Flesh and The Devil (1959) ","
Country:
USA
","
Language:
English
|
French
","
Release Date: 1 May 1959 (USA)
    
See more »
    
"
Warlock,https://www.imdb.com/title/tt0053434/,7.2,5306,121.0,"['Drama', 'Western']",Passed,,IMDB,Warlock (1959) ,"
Country:
USA
","
Language:
English
","
Release Date: April 1959 (USA)
    
See more »
    
"
Sapphire,https://www.imdb.com/title/tt0053242/,7.1,1368,92.0,"['Crime', 'Drama', 'Mystery']",Not Rated,,IMDB,Sapphire (1959) ,"
Country:
UK
","
Language:
English
","
Release Date: 2 November 1959 (USA)
    
See more »
    
"
Fate of a Man,https://www.imdb.com/title/tt0053317/,8.0,2676,103.0,"['Drama', 'War']",,,IMDB,Fate of a Man (1959) ,"
Country:
Soviet Union
","
Language:
Russian
|
German
","
Release Date: 12 April 1959 (Soviet Union)
    
See more »
    
"
Gidget,https://www.imdb.com/title/tt0052847/,6.7,3009,95.0,['Comedy'],Not Rated,,IMDB,Gidget (1959) ,"
Country:
USA
","
Language:
English
","
Release Date: 10 April 1959 (USA)
    
See more »
    
"
The Policeman of the 16th Precinct,https://www.imdb.com/title/tt0181592/,8.0,1546,84.0,['Comedy'],,,IMDB,The Policeman of the 16th Precinct (1959) ,"
Country:
Greece
","
Language:
Greek
","
Release Date: 31 July 1959 (Greece)
    
See more »
    
"
Compulsion,https://www.imdb.com/title/tt0052700/,7.4,5638,103.0,"['Biography', 'Crime', 'Drama']",Approved,,IMDB,Compulsion (1959) ,"
Country:
USA
","
Language:
English
","
Release Date: April 1959 (USA)
    
See more »
    
"
Tiger Bay,https://www.imdb.com/title/tt0053361/,7.5,2338,105.0,"['Crime', 'Drama', 'Thriller']",Not Rated,,IMDB,Tiger Bay (1959) ,"
Country:
UK
","
Language:
English
|
Polish
|
Spanish
","
Release Date: 14 December 1959 (USA)
    
See more »
    
"
Al Capone,https://www.imdb.com/title/tt0052543/,6.8,1467,104.0,"['Biography', 'Crime', 'Drama']",Approved,,IMDB,Al Capone (1959) ,"
Country:
USA
","
Language:
English
","
Release Date: 25 March 1959 (USA)
    
See more »
    
"
Prince of Space,https://www.imdb.com/title/tt0053464/,2.2,2690,121.0,"['Action', 'Adventure', 'Sci-Fi']",,,IMDB,Prince of Space (1959) ,"
Country:
Japan
","
Language:
Japanese
","
Release Date: 1962 (USA)
    
See more »
    
"
Some Like It Hot,https://www.imdb.com/title/tt0053291/,8.2,237113,121.0,"['Comedy', 'Music', 'Romance']",Not Rated,98.0,IMDB,Some Like It Hot (1959) ,"
Country:
USA
","
Language:
English
","
Release Date: 19 March 1959 (USA)
    
See more »
    
"
The Shaggy Dog,https://www.imdb.com/title/tt0053271/,6.5,4266,104.0,"['Family', 'Comedy', 'Fantasy']",Approved,45.0,IMDB,The Shaggy Dog (1959) ,"
Country:
USA
","
Language:
English
","
Release Date: 19 March 1959 (USA)
    
See more »
    
"
Green Mansions,https://www.imdb.com/title/tt0052864/,5.5,2009,104.0,"['Adventure', 'Drama', 'Romance']",Not Rated,,IMDB,Green Mansions (1959) ,"
Country:
USA
","
Language:
English
","
Release Date: 3 September 1959 (West Germany)
    
See more »
    
"
Rio Bravo,https://www.imdb.com/title/tt0053221/,8.0,54551,141.0,"['Action', 'Drama', 'Western']",Passed,93.0,IMDB,Rio Bravo (1959) ,"
Country:
USA
","
Language:
English
|
Spanish
","
Release Date: 4 April 1959 (USA)
    
See more »
    
"
The Diary of Anne Frank,https://www.imdb.com/title/tt0052738/,7.4,11741,180.0,"['Biography', 'Drama', 'Family']",Approved,59.0,IMDB,The Diary of Anne Frank (1959) ,"
Country:
USA
","
Language:
English
|
German
","
Release Date: 17 April 1959 (Netherlands)
    
See more »
    
"
Imitation of Life,https://www.imdb.com/title/tt0052918/,7.9,14338,125.0,['Drama'],Not Rated,,IMDB,Imitation of Life (1959) ,"
Country:
USA
","
Language:
English
","
Release Date: 18 March 1959 (USA)
    
See more »
    
"
Alias Jesse James,https://www.imdb.com/title/tt0052545/,6.5,1176,92.0,"['Comedy', 'Romance', 'Western']",Approved,,IMDB,Alias Jesse James (1959) ,"
Country:
USA
","
Language:
English
","
Release Date: 20 March 1959 (USA)
    
See more »
    
"
The 39 Steps,https://www.imdb.com/title/tt0053354/,6.6,1782,93.0,"['Comedy', 'Crime', 'Drama']",Approved,,IMDB,The 39 Steps (1959) ,"
Country:
UK
","
Language:
English
|
French
","
Release Date: 13 March 1959 (UK)
    
See more »
    
"
The Cousins,https://www.imdb.com/title/tt0052708/,7.3,2463,112.0,['Drama'],Not Rated,,IMDB,The Cousins (1959) ,"
Country:
France
","
Language:
French
|
German
","
Release Date: 23 November 1959 (USA)
    
See more »
    
"
The Indian Tomb,https://www.imdb.com/title/tt0052924/,6.7,2098,102.0,"['Adventure', 'Romance']",,,IMDB,The Indian Tomb (1959) ,"
Country:
West Germany
|
France
|
Italy
","
Language:
German
","
Release Date: October 1960 (USA)
    
See more »
    
"
Carry on Nurse,https://www.imdb.com/title/tt0051452/,6.3,2430,86.0,"['Comedy', 'Romance']",Not Rated,,IMDB,Carry on Nurse (1959) ,"
Country:
UK
","
Language:
English
","
Release Date: 16 September 1960 (USA)
    
See more »
    
"
Up Periscope,https://www.imdb.com/title/tt0053399/,6.5,1537,112.0,"['Action', 'Drama', 'Romance']",Approved,,IMDB,Up Periscope (1959) ,"
Country:
USA
","
Language:
English
","
Release Date: 19 April 1959 (Japan)
    
See more »
    
"
The Giant Behemoth,https://www.imdb.com/title/tt0052611/,5.8,2245,80.0,"['Action', 'Adventure', 'Drama']",Not Rated,,IMDB,The Giant Behemoth (1959) ,"
Country:
UK
|
USA
","
Language:
English
","
Release Date: 3 March 1959 (USA)
    
See more »
    
"
No Name on the Bullet,https://www.imdb.com/title/tt0052002/,7.3,2042,77.0,"['Action', 'Drama', 'Romance']",Passed,,IMDB,No Name on the Bullet (1959) ,"
Country:
USA
","
Language:
English
","
Release Date: February 1959 (USA)
    
See more »
    
"
First Man Into Space,https://www.imdb.com/title/tt0052805/,5.5,1172,77.0,"['Drama', 'Horror', 'Sci-Fi']",Approved,,IMDB,First Man Into Space (1959) ,"
Country:
UK
","
Language:
English
","
Release Date: 27 February 1959 (USA)
    
See more »
    
"
Ride Lonesome,https://www.imdb.com/title/tt0053220/,7.2,4405,73.0,"['Drama', 'Western']",Not Rated,,IMDB,Ride Lonesome (1959) ,"
Country:
USA
","
Language:
English
","
Release Date: 15 February 1959 (USA)
    
See more »
    
"
Ercole e la regina di Lidia,https://www.imdb.com/title/tt0052782/,4.5,1868,105.0,"['Adventure', 'Fantasy']",G,,IMDB,Ercole e la regina di Lidia (1959) ,"
Country:
Italy
|
France
|
Spain
","
Language:
Italian
|
Spanish
","
Release Date: 13 July 1960 (USA)
    
See more »
    
"
The Journey,https://www.imdb.com/title/tt0052950/,6.9,1384,126.0,"['Drama', 'Romance', 'War']",Approved,,IMDB,The Journey (1959) ,"
Country:
USA
","
Language:
English
|
Russian
|
Hungarian
","
Release Date: 11 February 1959 (Japan)
    
See more »
    
"
The Hanging Tree,https://www.imdb.com/title/tt0052876/,7.1,3550,107.0,['Western'],Not Rated,,IMDB,The Hanging Tree (1959) ,"
Country:
USA
","
Language:
English
","
Release Date: 20 February 1959 (Japan)
    
See more »
    
"
Sleeping Beauty,https://www.imdb.com/title/tt0053285/,7.2,131759,75.0,"['Animation', 'Family', 'Fantasy']",G,85.0,IMDB,Sleeping Beauty (1959) ,"
Country:
USA
","
Language:
English
","
Release Date: 25 December 1959 (USA)
    
See more »
    
"
Room at the Top,https://www.imdb.com/title/tt0053226/,7.5,5167,115.0,"['Drama', 'Romance']",Not Rated,84.0,IMDB,Room at the Top (1959) ,"
Country:
UK
","
Language:
French
|
English
","
Release Date: 22 January 1959 (UK)
    
See more »
    
"
Der Tiger von Eschnapur,https://www.imdb.com/title/tt0052295/,6.7,2292,101.0,"['Adventure', 'Drama', 'Romance']",,,IMDB,Der Tiger von Eschnapur (1959) ,"
Country:
West Germany
|
France
|
Italy
","
Language:
German
","
Release Date: October 1960 (USA)
    
See more »
    
"
The Human Condition I: No Greater Love,https://www.imdb.com/title/tt0053114/,8.5,6174,208.0,"['Drama', 'History', 'War']",Not Rated,,IMDB,The Human Condition I: No Greater Love (1959) ,"
Country:
Japan
","
Language:
Japanese
|
Mandarin
","
Release Date: 14 December 1959 (USA)
    
See more »
    
"
House on Haunted Hill,https://www.imdb.com/title/tt0051744/,6.9,22208,75.0,"['Horror', 'Mystery']",Not Rated,,IMDB,House on Haunted Hill (1959) ,"
Country:
USA
","
Language:
English
","
Release Date: 17 February 1959 (USA)
    
See more »
    
"
Kaagaz Ke Phool,https://www.imdb.com/title/tt0052954/,8.0,1951,148.0,['Romance'],,,IMDB,Kaagaz Ke Phool (1959) ,"
Country:
India
","
Language:
Hindi
","
Release Date: 2 January 1959 (India)
    
See more »
    
"
The Wild Women of Wongo,https://www.imdb.com/title/tt0052394/,2.3,1024,72.0,"['Adventure', 'Comedy']",Not Rated,,IMDB,The Wild Women of Wongo (1958) ,"
Country:
USA
","
Language:
English
", ~data not found~ 
Corridors of Blood,https://www.imdb.com/title/tt0051542/,6.5,1703,86.0,"['Crime', 'Horror', 'Thriller']",Not Rated,,IMDB,Corridors of Blood (1958) ,"
Country:
UK
|
USA
","
Language:
English
","
Release Date: 12 May 1963 (USA)
    
See more »
    
"
The Hidden Fortress,https://www.imdb.com/title/tt0051808/,8.1,32954,126.0,"['Adventure', 'Drama']",Not Rated,,IMDB,The Hidden Fortress (1958) ,"
Country:
Japan
","
Language:
Japanese
","
Release Date: 6 October 1960 (USA)
    
See more »
    
"
Lonelyhearts,https://www.imdb.com/title/tt0053017/,6.7,1036,100.0,['Drama'],,,IMDB,Lonelyhearts (1958) ,"
Country:
USA
","
Language:
English
","
Release Date: December 1958 (USA)
    
See more »
    
"
The Magician,https://www.imdb.com/title/tt0051365/,7.7,8687,101.0,"['Comedy', 'Drama']",Not Rated,86.0,IMDB,The Magician (1958) ,"
Country:
Sweden
","
Language:
Swedish
","
Release Date: 27 August 1959 (USA)
    
See more »
    
"
"Rally 'Round the Flag, Boys!",https://www.imdb.com/title/tt0052117/,6.0,1106,106.0,['Comedy'],Approved,,IMDB,"Rally 'Round the Flag, Boys! (1958) ","
Country:
USA
","
Language:
English
","
Release Date: February 1959 (USA)
    
See more »
    
"
The Geisha Boy,https://www.imdb.com/title/tt0051649/,6.5,1753,98.0,['Comedy'],Approved,,IMDB,The Geisha Boy (1958) ,"
Country:
USA
","
Language:
English
|
Japanese
","
Release Date: December 1958 (USA)
    
See more »
    
"
Some Came Running,https://www.imdb.com/title/tt0052218/,7.4,5516,137.0,"['Drama', 'Romance']",Approved,,IMDB,Some Came Running (1958) ,"
Country:
USA
","
Language:
English
","
Release Date: 25 December 1958 (USA)
    
See more »
    
"
Separate Tables,https://www.imdb.com/title/tt0052182/,7.4,6583,100.0,"['Drama', 'Romance']",Approved,,IMDB,Separate Tables (1958) ,"
Country:
USA
","
Language:
English
","
Release Date: 11 February 1959 (France)
    
See more »
    
"
