,Title,URL,IMDB_Rating,Number_of_votes,Runtime,Genre,MPAA/TV_Rating,Metascore (*),Source,Country,Language,Release_Date
114,The Mandela Effect,https://www.imdb.com/title/tt6544220/,5.7,1670,80.0,"['Drama', 'Sci-Fi', 'Thriller']",,,IMDB,['USA'],"['English', 'Spanish']",2019-12-06
115,Terminator: Dark Fate,https://www.imdb.com/title/tt6450804/,6.3,126879,128.0,"['Action', 'Adventure', 'Sci-Fi']",R,5.4,IMDB,"['China', 'Spain', 'Hungary', 'USA']","['English', 'Spanish']",2019-11-01
116,Kim Ji-young: Born 1982,https://www.imdb.com/title/tt11052808/,7.4,1709,118.0,['Drama'],,,IMDB,['South Korea'],['Korean'],2019-10-23
117,Das perfekte Geheimnis,https://www.imdb.com/title/tt10145122/,6.7,2729,111.0,"['Comedy', 'Drama', 'Romance']",,,IMDB,['Germany'],['German'],2019-10-31
118,The Last Full Measure,https://www.imdb.com/title/tt0783640/,6.7,4587,116.0,"['Drama', 'War']",R,5.1,IMDB,['USA'],['English'],2020-01-24
119,Laal Kaptaan,https://www.imdb.com/title/tt9052960/,7.3,3189,155.0,"['Action', 'Adventure', 'Drama']",Not Rated,,IMDB,['India'],['Hindi'],2019-10-18
120,Kill Chain,https://www.imdb.com/title/tt8535180/,5.0,2592,91.0,"['Action', 'Thriller']",R,,IMDB,['USA'],['English'],2019-10-18
121,Karakomik Filmler: 2 Arada,https://www.imdb.com/title/tt8456098/,6.4,8764,60.0,"['Comedy', 'Drama']",,,IMDB,['Turkey'],['Turkish'],2019-10-18
122,Eli,https://www.imdb.com/title/tt5294518/,5.7,25760,98.0,"['Drama', 'Horror', 'Mystery']",R,,IMDB,['USA'],['English'],2019-10-18
123,Safe,https://www.imdb.com/title/tt10869474/,7.5,1029,144.0,"['Action', 'Crime', 'Thriller']",,,IMDB,['India'],['Malayalam'],2019-10-18
124,Impetigore,https://www.imdb.com/title/tt9000302/,7.2,1052,106.0,"['Drama', 'Horror', 'Mystery']",,,IMDB,"['Indonesia', 'South Korea']",['Indonesian'],2019-10-17
125,Karakomik Filmler: KaÃÂ§amak,https://www.imdb.com/title/tt8865546/,5.5,6706,60.0,['Comedy'],,,IMDB,['Turkey'],"['Turkish', 'English']",2019-10-18
126,Saand Ki Aankh,https://www.imdb.com/title/tt8108206/,7.8,3590,146.0,"['Biography', 'Drama']",,,IMDB,['India'],['Hindi'],2019-10-25
127,The Jesus Rolls,https://www.imdb.com/title/tt5974030/,4.3,1948,85.0,"['Comedy', 'Crime', 'Drama']",R,4.4,IMDB,['USA'],['English'],2019-10-17
128,Maleficent: Mistress of Evil,https://www.imdb.com/title/tt4777008/,6.6,74234,119.0,"['Adventure', 'Family', 'Fantasy']",PG,4.3,IMDB,"['USA', 'UK', 'Canada']",['English'],2019-10-18
129,Jay and Silent Bob Reboot,https://www.imdb.com/title/tt6521876/,5.7,16557,105.0,['Comedy'],R,4.6,IMDB,['USA'],['English'],2019-11-29
130,The Man Without Gravity,https://www.imdb.com/title/tt9646240/,6.3,1707,107.0,"['Comedy', 'Drama', 'Fantasy']",TV-14,,IMDB,"['Italy', 'Belgium']","['Italian', 'English', 'French']",2019-11-01
131,The Village in the Woods,https://www.imdb.com/title/tt5053156/,5.8,1364,82.0,"['Horror', 'Mystery', 'Thriller']",,,IMDB,['UK'],,2019-10-14
132,Mermaid Down,https://www.imdb.com/title/tt3584496/,6.3,4716,91.0,"['Fantasy', 'Horror', 'Mystery']",,,IMDB,['USA'],['English'],2019-10-15
133,Banlieusards,https://www.imdb.com/title/tt10958282/,6.4,1062,96.0,['Crime'],,,IMDB,['France'],['French'],2019-10-12
134,El Camino: A Breaking Bad Movie,https://www.imdb.com/title/tt9243946/,7.3,168989,122.0,"['Action', 'Crime', 'Drama']",,7.2,IMDB,['USA'],['English'],2019-10-11
135,Ai-naki mori de sakebe,https://www.imdb.com/title/tt10589914/,6.4,1430,151.0,"['Crime', 'Drama', 'Horror']",,,IMDB,['Japan'],['Japanese'],2019-10-11
136,Jexi,https://www.imdb.com/title/tt9354944/,6.1,15903,84.0,"['Comedy', 'Romance']",R,3.9,IMDB,"['USA', 'Canada']",['English'],2019-10-11
137,Valhalla,https://www.imdb.com/title/tt8956872/,5.7,2062,105.0,"['Adventure', 'Fantasy', 'Thriller']",,,IMDB,"['Denmark', 'Norway', 'Sweden', 'Iceland']","['English', 'Danish']",2019-10-10
138,Earthquake Bird,https://www.imdb.com/title/tt8178486/,5.9,11449,107.0,"['Crime', 'Drama', 'Mystery']",R,5.1,IMDB,"['UK', 'Japan', 'USA']","['English', 'Japanese']",2019-11-15
139,The Rising Hawk,https://www.imdb.com/title/tt7439064/,6.0,1736,135.0,"['Action', 'Drama', 'History']",,,IMDB,"['Ukraine', 'USA']","['English', 'Mongolian']",2019-10-10
140,The Legacy of the Bones,https://www.imdb.com/title/tt7304802/,6.1,3964,121.0,"['Crime', 'Thriller']",,,IMDB,"['Spain', 'Germany']","['Spanish', 'English', 'Basque']",2019-12-05
141,The Addams Family,https://www.imdb.com/title/tt1620981/,5.8,22407,86.0,"['Animation', 'Comedy', 'Family']",PG,4.6,IMDB,"['Canada', 'USA']","['English', 'Spanish', 'Italian', 'French']",2019-10-11
142,Yedinci Kogustaki Mucize,https://www.imdb.com/title/tt10431500/,8.3,27476,132.0,['Drama'],,,IMDB,['Turkey'],['Turkish'],2019-10-11
143,Zombieland: Double Tap,https://www.imdb.com/title/tt1560220/,6.7,117853,99.0,"['Action', 'Adventure', 'Comedy']",R,5.5,IMDB,['USA'],"['English', 'Spanish', 'Italian', 'Inuktitut', 'Hindi']",2019-10-18
144,Trick,https://www.imdb.com/title/tt9177040/,4.8,1862,100.0,['Horror'],Not Rated,1.6,IMDB,['USA'],,2019-10-18
145,Advantages of Travelling by Train,https://www.imdb.com/title/tt8406738/,6.5,1370,106.0,"['Comedy', 'Mystery', 'Thriller']",,,IMDB,"['Spain', 'France']","['Spanish', 'French', 'English', 'Russian']",2019-11-08
146,Wonder Woman: Bloodlines,https://www.imdb.com/title/tt8752498/,5.8,4153,83.0,"['Animation', 'Action', 'Fantasy']",PG-13,,IMDB,['USA'],"['English', 'German']",2019-10-05
147,Semper Fi,https://www.imdb.com/title/tt7042838/,6.1,1804,99.0,"['Action', 'Drama']",R,4.8,IMDB,"['UK', 'USA']",['English'],2019-10-04
148,Code 8,https://www.imdb.com/title/tt6259380/,6.1,29669,98.0,"['Action', 'Crime', 'Drama']",Not Rated,4.8,IMDB,['Canada'],['English'],2019-12-13
149,Asuran,https://www.imdb.com/title/tt9477520/,8.5,8031,141.0,"['Action', 'Drama']",Not Rated,,IMDB,['India'],['Tamil'],2019-10-03
150,Axone,https://www.imdb.com/title/tt8747548/,7.1,1438,96.0,"['Comedy', 'Drama']",,,IMDB,['India'],['Hindi'],2020-06-12
