Movie_Rank,Movie_Title,Movie_Rating,Genre,Rated,Runtime,Release Date
55,Raiders of the Lost Ark,0.8412848750953307,"Action, Adventure",PG,1h 55min,12 June 1981 (USA)
56,The Great Dictator,0.8411536336194292,"Comedy, Drama, War",Passed,2h 5min,7 March 1941 (USA)
57,Joker,0.8408640076297427,"Crime, Drama, Thriller",R,2h 2min,4 October 2019 (USA)
58,The Lives of Others,0.8390889566866677,"Drama, Mystery, Thriller",R,2h 17min,30 March 2007 (USA)
59,Django Unchained,0.8389940908296232,"Drama, Western",R,2h 45min,25 December 2012 (USA)
60,Paths of Glory,0.83751240317326,"Drama, War",Approved,1h 28min,25 December 1957 (USA)
61,The Shining,0.8369880191468877,"Drama, Horror",R,2h 26min,13 June 1980 (USA)
62,WALL·E,0.8367935201532063,"Animation, Adventure, Family",G,1h 38min,27 June 2008 (USA)
63,Avengers: Infinity War,0.8366960135387711,"Action, Adventure, Sci-Fi",PG-13,2h 29min,27 April 2018 (USA)
64,Sunset Blvd.,0.8361067433019203,"Drama, Film-Noir",Passed,1h 50min,29 September 1950 (Australia)
65,Spider-Man: Into the Spider-Verse,0.8353173677406573,"Animation, Action, Adventure",PG,1h 57min,14 December 2018 (USA)
66,Princess Mononoke,0.8353036371981887,"Animation, Adventure, Fantasy",PG-13,2h 14min,19 December 1997 (USA)
67,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,0.8352313232106947,Comedy,PG,1h 35min,29 January 1964 (USA)
68,Witness for the Prosecution,0.8351953593824275,"Crime, Drama, Mystery",Approved,1h 56min,6 February 1958 (USA)
69,Oldboy,0.8351526562727283,"Action, Drama, Mystery",R,2h,21 November 2003 (South Korea)
70,The Dark Knight Rises,0.8334325328407728,"Action, Adventure",PG-13,2h 44min,20 July 2012 (USA)
71,Once Upon a Time in America,0.833172811549192,"Crime, Drama",R,3h 49min,1 June 1984 (USA)
72,Avengers: Endgame,0.832860184899874,"Action, Adventure, Drama",PG-13,3h 1min,26 April 2019 (USA)
73,Aliens,0.832456068175756,"Action, Adventure, Sci-Fi",R,2h 17min,18 July 1986 (USA)
74,Your Name.,0.831945823582509,"Animation, Drama, Fantasy",PG,1h 46min,7 April 2017 (USA)
75,Coco,0.8314049526731994,"Animation, Adventure, Family",PG,1h 45min,22 November 2017 (USA)
76,American Beauty,0.8308922624380756,Drama,R,2h 2min,1 October 1999 (USA)
77,Braveheart,0.8303244090542032,"Biography, Drama, History",R,2h 58min,24 May 1995 (USA)
78,3 Idiots,0.8299612131110795,"Comedy, Drama",PG-13,2h 50min,25 December 2009 (India)
79,Das Boot,0.8299493210927883,"Adventure, Drama, Thriller",R,2h 29min,10 February 1982 (USA)
80,Toy Story,0.8295233821228448,"Animation, Adventure, Comedy",G,1h 21min,22 November 1995 (USA)
81,High and Low,0.8292303294108146,"Crime, Drama, Mystery",Not Rated,2h 23min,26 November 1963 (USA)
82,Amadeus,0.8289362382367355,"Biography, Drama, History",R,2h 40min,19 September 1984 (USA)
83,Taare Zameen Par,0.8289128823388854,"Drama, Family",PG,2h 45min,21 December 2007 (India)
84,Star Wars: Episode VI - Return of the Jedi,0.8287268172663449,"Action, Adventure, Fantasy",PG,2h 11min,25 May 1983 (USA)
85,Reservoir Dogs,0.8283173400970861,"Crime, Drama, Thriller",R,1h 39min,2 September 1992 (France)
86,Inglourious Basterds,0.8283072162766538,"Adventure, Drama, War",R,2h 33min,21 August 2009 (USA)
87,Good Will Hunting,0.8278708594617792,"Drama, Romance",R,2h 6min,9 January 1998 (USA)
88,2001: A Space Odyssey,0.8272082640903635,"Adventure, Sci-Fi",G,2h 29min,12 May 1968 (UK)
89,Capharnaüm,0.8271747248149506,Drama,R,2h 6min,20 September 2018 (Lebanon)
90,1917,0.8269374430453643,"Drama, War",R,1h 59min,10 January 2020 (USA)
91,Vertigo,0.82684750101731,"Mystery, Romance, Thriller",PG,2h 8min,22 May 1958 (UK)
92,Requiem for a Dream,0.8268063374916081,Drama,R,1h 42min,15 December 2000 (USA)
93,M,0.826508607533168,"Crime, Mystery, Thriller",Passed,1h 39min,31 August 1931 (Sweden)
94,Dangal,0.8263911106484361,"Action, Biography, Drama",Not Rated,2h 41min,21 December 2016 (USA)
95,Eternal Sunshine of the Spotless Mind,0.8259613346220327,"Drama, Romance, Sci-Fi",R,1h 48min,19 March 2004 (USA)
96,The Hunt,0.8257431042968421,Drama,R,1h 55min,10 January 2013 (Denmark)
97,Citizen Kane,0.825674293049812,"Drama, Mystery",PG,1h 59min,5 September 1941 (USA)
98,Full Metal Jacket,0.8250572500652307,"Drama, War",R,1h 56min,10 July 1987 (USA)
99,Bicycle Thieves,0.8248927826334684,Drama,Not Rated,1h 29min,13 December 1949 (USA)
100,North by Northwest,0.8247659079890035,"Adventure, Mystery, Thriller",Approved,2h 16min,26 September 1959 (Japan)
101,A Clockwork Orange,0.8247441534405032,"Crime, Drama, Sci-Fi",R,2h 16min,2 February 1972 (USA)
102,The Kid,0.8247394810137647,"Comedy, Drama, Family",Passed,1h 8min,6 February 1921 (USA)
103,Snatch,0.8245692809718153,"Comedy, Crime",R,1h 42min,19 January 2001 (USA)
104,Singin' in the Rain,0.8243896897101578,"Comedy, Musical, Romance",G,1h 43min,11 April 1952 (USA)
105,Scarface,0.8242939167529864,"Crime, Drama",R,2h 50min,9 December 1983 (USA)
106,Taxi Driver,0.8240455177341357,"Crime, Drama",R,1h 54min,9 February 1976 (USA)
107,Amélie,0.8235850661648335,"Comedy, Romance",R,2h 2min,8 February 2002 (USA)
108,Lawrence of Arabia,0.8235372998092337,"Adventure, Biography, Drama",Approved,3h 48min,11 December 1962 (UK)
109,Toy Story 3,0.8234309788960914,"Animation, Adventure, Comedy",G,1h 43min,18 June 2010 (USA)
110,The Sting,0.8233696149171529,"Comedy, Crime, Drama",PG,2h 9min,25 December 1973 (USA)
111,Ikiru,0.8233409390999604,Drama,Not Rated,2h 23min,25 March 1956 (USA)
112,Metropolis,0.8230681322692316,"Drama, Sci-Fi",Not Rated,2h 33min,13 March 1927 (USA)
113,A Separation,0.8230105922262506,Drama,PG-13,2h 3min,16 March 2011 (Iran)
114,For a Few Dollars More,0.8229027088364358,Western,R,2h 12min,10 May 1967 (USA)
115,Anand,0.8226845582192162,"Drama, Musical",Not Rated,2h 2min,12 March 1971 (India)
