Title,Rating,Genre,Runtime,MPAA/TV_Rating,Release_Date,Month,Year,Decade,Primary_Genre,Source
Kung Fu Panda,82.0,"['Animation', 'Action', 'Adventure']",92.0,PG,2008-06-06,6,2008,2000,Animation,RT Audience
Sex and the City,77.0,"['Comedy', 'Drama', 'Romance']",145.0,R,2008-05-30,5,2008,2000,Comedy,RT Audience
Finding Amanda,28.0,"['Comedy', 'Drama']",96.0,R,2011-03-14,3,2011,2010,Comedy,RT Audience
Smother,20.0,"['Comedy', 'Drama']",92.0,PG-13,2008-04-30,4,2008,2000,Comedy,RT Audience
"War, Inc.",38.0,"['Action', 'Comedy', 'Thriller']",107.0,R,2008-06-13,6,2008,2000,Action,RT Audience
Speed Racer,60.0,"['Action', 'Adventure', 'Comedy']",135.0,PG,2008-05-09,5,2008,2000,Action,RT Audience
Bart Got a Room,56.0,['Comedy'],80.0,PG-13,2008-04-25,4,2008,2000,Comedy,RT Audience
Trucker,58.0,['Drama'],90.0,R,2008-04-24,4,2008,2000,Drama,RT Audience
Baby Mama,55.0,"['Comedy', 'Romance']",99.0,PG-13,2008-04-25,4,2008,2000,Comedy,RT Audience
Made of Honor,55.0,"['Comedy', 'Romance']",101.0,PG-13,2008-05-02,5,2008,2000,Comedy,RT Audience
Delgo,26.0,"['Animation', 'Adventure', 'Comedy']",94.0,PG,2008-12-12,12,2008,2000,Animation,RT Audience
Iron Man,91.0,"['Action', 'Adventure', 'Sci_Fi']",126.0,PG-13,2008-05-02,5,2008,2000,Action,RT Audience
Chaos Theory,58.0,"['Comedy', 'Drama', 'Romance']",87.0,PG-13,2008-10-16,10,2008,2000,Comedy,RT Audience
Prom Night,38.0,"['Horror', 'Mystery']",88.0,PG-13,2008-04-11,4,2008,2000,Horror,RT Audience
Redbelt,65.0,"['Drama', 'Sport']",99.0,R,2008-05-09,5,2008,2000,Drama,RT Audience
Street Kings,58.0,"['Action', 'Crime', 'Drama']",109.0,R,2008-04-11,4,2008,2000,Action,RT Audience
The Ruins,30.0,"['Fantasy', 'Horror', 'Thriller']",90.0,R,2008-04-04,4,2008,2000,Fantasy,RT Audience
Nim's Island,46.0,"['Adventure', 'Family', 'Fantasy']",96.0,PG,2008-04-04,4,2008,2000,Adventure,RT Audience
Leatherheads,38.0,"['Comedy', 'Drama', 'Romance']",114.0,PG-13,2008-04-04,4,2008,2000,Comedy,RT Audience
Shutter,78.0,"['Horror', 'Mystery', 'Thriller']",85.0,PG-13,2008-03-21,3,2008,2000,Horror,RT Audience
