Title,Rating,Genre,Runtime,MPAA/TV_Rating,Release_Date,Month,Year,Decade,Primary_Genre,Country,Source
Tenacious D in the Pick of Destiny,67.0,"['Adventure', 'Comedy', 'Music']",93.0,R,2006-11-22,11,2006,2000,Adventure,USA,RT Audience
Flushed Away,65.0,"['Animation', 'Adventure', 'Comedy']",85.0,PG,2006-11-03,11,2006,2000,Animation,UK,RT Audience
Tekkonkinkreet,88.0,"['Animation', 'Action', 'Adventure']",111.0,R,2006-12-23,12,2006,2000,Animation,Japan,RT Audience
Gray Matters,45.0,"['Comedy', 'Romance']",96.0,PG-13,2007-07-13,7,2007,2000,Comedy,USA,RT Audience
Jar City,74.0,"['Crime', 'Drama', 'Mystery']",93.0,Not Rated,2006-10-20,10,2006,2000,Crime,Iceland,RT Audience
Sweetheart,51.0,"['Drama', 'Musical', 'Romance']",165.0,Not Rated,2006-10-20,10,2006,2000,Drama,India,RT Audience
Two Weeks,66.0,"['Comedy', 'Drama']",102.0,R,2006-10-20,10,2006,2000,Comedy,USA,RT Audience
Running with Scissors,56.0,"['Comedy', 'Drama']",116.0,R,2006-10-27,10,2006,2000,Comedy,USA,RT Audience
Catch and Release,55.0,"['Comedy', 'Drama', 'Romance']",124.0,PG-13,2007-01-26,1,2007,2000,Comedy,USA,RT Audience
Flicka,82.0,"['Adventure', 'Drama', 'Family']",95.0,PG,2006-10-20,10,2006,2000,Adventure,USA,RT Audience
The Hoax,33.0,"['Comedy', 'Drama']",116.0,R,2007-04-20,4,2007,2000,Comedy,USA,RT Audience
Man of the Year,45.0,"['Comedy', 'Drama', 'Romance']",115.0,PG-13,2006-10-13,10,2006,2000,Comedy,USA,RT Audience
One Night with the King,78.0,"['Biography', 'Drama', 'History']",123.0,PG,2006-10-13,10,2006,2000,Biography,USA,RT Audience
Flags of Our Fathers,69.0,"['Action', 'Adventure', 'Drama']",135.0,R,2006-10-20,10,2006,2000,Action,USA,RT Audience
Trailer Park Boys: The Movie,77.0,"['Comedy', 'Crime']",95.0,R,2006-10-06,10,2006,2000,Comedy,Canada,RT Audience
Employee of the Month,53.0,"['Comedy', 'Romance']",103.0,PG-13,2006-10-06,10,2006,2000,Comedy,USA,RT Audience
The Texas Chainsaw Massacre: The Beginning,53.0,"['Horror', 'Thriller']",91.0,R,2006-10-06,10,2006,2000,Horror,USA,RT Audience
Facing the Giants,85.0,"['Drama', 'Fantasy', 'Sport']",111.0,PG,2006-09-29,9,2006,2000,Drama,USA,RT Audience
School for Scoundrels,52.0,['Comedy'],100.0,PG-13,2006-09-29,9,2006,2000,Comedy,USA,RT Audience
Tazza: The High Rollers,85.0,"['Comedy', 'Crime']",139.0,,2006-09-28,9,2006,2000,Comedy,South Korea,RT Audience
Nina's Heavenly Delights,63.0,['Comedy'],94.0,PG-13,2007-11-21,11,2007,2000,Comedy,UK,RT Audience
The Guardian,80.0,"['Action', 'Adventure', 'Drama']",139.0,PG-13,2006-09-29,9,2006,2000,Action,USA,RT Audience
Open Season,57.0,"['Animation', 'Adventure', 'Comedy']",86.0,PG,2006-09-29,9,2006,2000,Animation,USA,RT Audience
Delirious,39.0,"['Comedy', 'Drama', 'Romance']",107.0,,2007-05-18,5,2007,2000,Comedy,USA,RT Audience
The Departed,94.0,"['Crime', 'Drama', 'Thriller']",151.0,R,2006-10-06,10,2006,2000,Crime,USA,RT Audience
Flyboys,67.0,"['Action', 'Drama', 'History']",140.0,PG-13,2006-09-22,9,2006,2000,Action,UK,RT Audience
Beer League,58.0,"['Comedy', 'Sport']",86.0,R,2006-09-15,9,2006,2000,Comedy,USA,RT Audience
Everyone's Hero,44.0,"['Animation', 'Adventure', 'Comedy']",87.0,G,2006-09-15,9,2006,2000,Animation,Canada,RT Audience
Seraphim Falls,53.0,"['Action', 'Drama', 'Thriller']",115.0,R,2007-04-13,4,2007,2000,Action,USA,RT Audience
Breaking and Entering,52.0,"['Crime', 'Drama', 'Romance']",120.0,R,2006-11-10,11,2006,2000,Crime,UK,RT Audience
This Is England,90.0,"['Crime', 'Drama']",101.0,Not Rated,2007-04-27,4,2007,2000,Crime,UK,RT Audience
El cantante,63.0,"['Biography', 'Drama', 'Music']",106.0,R,2007-08-03,8,2007,2000,Biography,USA,RT Audience
Outsourced,73.0,"['Comedy', 'Drama', 'Romance']",103.0,PG-13,2007-11-29,11,2007,2000,Comedy,USA,RT Audience
Out of the Blue,40.0,"['Crime', 'Drama']",103.0,,2006-10-12,10,2006,2000,Crime,New Zealand,RT Audience
10 Items or Less,65.0,"['Comedy', 'Drama']",82.0,R,2007-02-08,2,2007,2000,Comedy,USA,RT Audience
Away from Her,81.0,['Drama'],110.0,PG-13,2007-05-25,5,2007,2000,Drama,Canada,RT Audience
Bonneville,43.0,"['Comedy', 'Drama']",93.0,PG,2008-02-29,2,2008,2000,Comedy,USA,RT Audience
The Abandoned,42.0,"['Horror', 'Mystery', 'Thriller']",99.0,R,2007-02-23,2,2007,2000,Horror,Spain,RT Audience
Fay Grim,57.0,"['Action', 'Comedy', 'Thriller']",118.0,R,2007-09-27,9,2007,2000,Action,USA,RT Audience
Death of a President,58.0,"['Crime', 'Drama', 'Mystery']",97.0,R,2006-12-21,12,2006,2000,Crime,UK,RT Audience
Black Sheep,53.0,"['Comedy', 'Horror', 'Sci_Fi']",87.0,Not Rated,2007-03-29,3,2007,2000,Comedy,New Zealand,RT Audience
For Your Consideration,43.0,['Comedy'],86.0,PG-13,2006-11-22,11,2006,2000,Comedy,USA,RT Audience
Everything's Gone Green,60.0,"['Comedy', 'Crime']",95.0,R,2007-04-20,4,2007,2000,Comedy,Canada,RT Audience
Cashback,77.0,"['Comedy', 'Drama', 'Romance']",102.0,R,2008-05-09,5,2008,2000,Comedy,UK,RT Audience
The Last Kiss,,"['Comedy', 'Drama', 'Romance']",104.0,R,2006-09-15,9,2006,2000,Comedy,USA,RT Audience
All the King's Men,40.0,"['Drama', 'Thriller']",128.0,PG-13,2006-09-22,9,2006,2000,Drama,Germany,RT Audience
All the Boys Love Mandy Lane,31.0,['Horror'],90.0,R,2013-09-06,9,2013,2010,Horror,USA,RT Audience
Chacun sa nuit,46.0,['Drama'],95.0,Not Rated,2006-09-20,9,2006,2000,Drama,France,RT Audience
Bella,81.0,"['Drama', 'Romance']",91.0,PG-13,2007-11-30,11,2007,2000,Drama,USA,RT Audience
Diggers,57.0,"['Comedy', 'Drama']",96.0,R,2007-03-30,3,2007,2000,Comedy,USA,RT Audience
Rescue Dawn,75.0,"['Action', 'Biography', 'Drama']",120.0,PG-13,2007-07-27,7,2007,2000,Action,USA,RT Audience
The Fall,85.0,"['Adventure', 'Drama', 'Fantasy']",117.0,R,2008-05-30,5,2008,2000,Adventure,USA,RT Audience
Stranger Than Fiction,85.0,"['Comedy', 'Drama', 'Fantasy']",113.0,PG-13,2006-11-10,11,2006,2000,Comedy,USA,RT Audience
Night of the Living Dead 3D,18.0,['Horror'],80.0,R,2006-11-10,11,2006,2000,Horror,USA,RT Audience
Fido,72.0,"['Comedy', 'Drama', 'Horror']",93.0,R,2007-03-16,3,2007,2000,Comedy,Canada,RT Audience
DOA: Dead or Alive,36.0,"['Action', 'Adventure', 'Mystery']",87.0,PG-13,2007-06-15,6,2007,2000,Action,UK,RT Audience
Perfume: The Story of a Murderer,74.0,"['Crime', 'Drama']",147.0,R,2007-01-05,1,2007,2000,Crime,Germany,RT Audience
Inland Empire,75.0,"['Drama', 'Fantasy', 'Mystery']",180.0,R,2007-02-07,2,2007,2000,Drama,France,RT Audience
Gridiron Gang,81.0,"['Biography', 'Crime', 'Drama']",125.0,PG-13,2006-09-15,9,2006,2000,Biography,USA,RT Audience
I Don't Want to Sleep Alone,74.0,"['Drama', 'Romance']",115.0,,2007-03-23,3,2007,2000,Drama,Malaysia,RT Audience
