Title,Rating,Genre,Runtime,MPAA/TV_Rating,Release_Date,Month,Year,Decade,Primary_Genre,Source
Let It Snow,51.0,"['Comedy', 'Romance']",92.0,PG-13,2019-11-08,11,2019,2010,Comedy,Metascore
Playing with Fire,24.0,"['Comedy', 'Family']",96.0,PG,2019-11-08,11,2019,2010,Comedy,Metascore
Frozen II,64.0,"['Animation', 'Adventure', 'Comedy']",103.0,PG,2019-11-22,11,2019,2010,Animation,Metascore
Primal,32.0,"['Action', 'Thriller']",97.0,R,2019-11-08,11,2019,2010,Action,Metascore
Arctic Dogs,28.0,"['Animation', 'Adventure', 'Comedy']",92.0,PG,2019-11-01,11,2019,2010,Animation,Metascore
Badland,46.0,['Western'],117.0,TV-14,2019-11-01,11,2019,2010,Western,Metascore
Doctor Sleep,59.0,"['Drama', 'Fantasy', 'Horror']",152.0,R,2019-11-08,11,2019,2010,Drama,Metascore
Better Days,83.0,"['Crime', 'Drama', 'Family']",135.0,,2019-10-25,10,2019,2010,Crime,Metascore
Midway,47.0,"['Action', 'Adventure', 'Drama']",138.0,PG-13,2019-11-08,11,2019,2010,Action,Metascore
Terminator: Dark Fate,54.0,"['Action', 'Adventure', 'Sci_Fi']",128.0,R,2019-11-01,11,2019,2010,Action,Metascore
The Jesus Rolls,44.0,"['Comedy', 'Crime', 'Drama']",85.0,R,2019-10-17,10,2019,2010,Comedy,Metascore
